machine_id,temperature,pressure,vibration,humidity,runtime_hours,failure
1,74.96714153011233,46.60992254381837,2.3215052695127785,38.56576783541071,9396,1
2,68.61735698828815,46.372687132929165,2.694500536946347,39.6734409625969,1141,0
3,76.47688538100692,35.63485461895988,2.4026189389548573,40.64294878587582,5212,0
4,85.23029856408026,47.3592784663885,3.1104180469461196,49.4686146164618,807,1
5,67.65846625276664,55.86263265457396,4.197178531461913,32.527826915132565,7558,0
6,67.6586304305082,39.80614304738564,2.2289578428587955,31.5365300848734,1483,0
7,85.79212815507391,58.38786120840474,4.000820497768414,52.36619742142975,1402,1
8,77.67434729152909,53.902198568674706,2.2183279276531125,35.37355258118702,7218,0
9,65.30525614065049,44.126133424231696,2.152372787503116,27.369646464229337,8968,1
10,75.42560043585965,48.86776290129722,3.818594618343213,35.1487005790013,2664,0
11,65.36582307187538,62.78657446112827,3.921936378007617,36.69947264755999,9855,1
12,65.34270246429743,55.86838250804693,3.8514099367626544,55.54962727725765,1360,0
13,72.41962271566034,50.07026923918518,1.6842025917818588,49.248262123767375,3303,0
14,50.86719755342202,48.098533464312126,2.5340490219279492,51.47520616632242,457,0
15,52.75082167486967,50.61287256361328,3.8229885920033215,48.19973642346786,5504,0
16,64.37712470759027,45.905891536461574,3.0415418405638945,49.46243671615314,5512,0
17,59.87168879665576,33.16200395424788,1.9263071538025358,33.11917873419682,3334,0
18,73.14247332595274,66.33742328427785,3.4583179391254415,38.01397844646516,8183,1
19,60.91975924478789,51.24259999359521,2.2851927410085295,30.10084686976451,518,0
20,55.87696298664709,53.1851781209803,4.7945248483922125,37.89511969462966,8006,1
21,84.65648768921554,49.53673800098473,4.544841462418258,46.84104990934741,5687,0
22,67.74223699513465,44.1190655942033,3.604097426355567,41.34583284812247,4055,0
23,70.67528204687923,48.512604152409835,4.361006704769774,53.114808189602954,1693,0
24,55.75251813786544,37.20484190244551,3.064791350123381,28.585842077727808,4702,0
25,64.55617275474818,68.21669198442643,3.765437494375016,45.0023835069824,9677,1
26,71.10922589709867,40.123904012620834,4.477720295302075,27.516971981306817,344,0
27,58.490064225776976,41.744269729222566,3.2454986817943126,40.941764691736424,4672,0
28,73.75698018345672,46.4779263649088,2.7448128284857165,47.40333422556479,714,0
29,63.99361310081195,60.30460579881902,1.2953780418228842,37.85497433175781,349,0
30,67.08306250206724,50.11607199410123,2.916866474278506,45.51126604086956,6720,0
31,63.98293387770603,40.110913631756304,3.8234231845623112,30.40267665167066,9887,1
32,88.52278184508938,60.034706886058714,3.9456334275676297,23.36310021803617,5969,1
33,69.86502775262066,55.84800501428385,3.5043650657184098,45.57029622487803,6071,0
34,59.422890710440996,54.30747965773162,2.45870090503776,57.44010234075733,610,0
35,78.22544912103189,55.72587392936672,1.0231784310524095,30.03955059830108,6068,0
36,57.791563500289776,69.15489520465961,2.504784901995265,52.221941801067956,4969,0
37,72.08863595004756,67.4807591602889,2.6956551289460484,40.43423408816411,9657,1
38,50.403298761202244,44.506277255973636,2.687071032809986,26.64308478306924,7605,0
39,56.71813951101569,62.99107994248922,3.6185563569779244,28.684946986478373,7747,0
40,71.96861235869123,53.065345518071204,4.98567641101484,40.1578477336065,9215,1
41,77.3846657999541,53.99276652910199,3.123529201841093,35.95537712075896,173,0
42,71.7136828118997,36.46183334685337,2.7832682108435383,26.87087023241761,9100,1
43,68.8435171761176,48.63691387689443,2.7407781869959074,23.05960718774595,2978,0
44,66.98896304410711,43.49741127730748,3.1243847669077143,31.53280672073494,5241,0
45,55.214780096325725,56.62447051914647,2.171706239651601,41.93809008331118,2226,0
46,62.801557916052914,58.56864400322244,3.120198558746055,39.93599247396862,2304,0
47,65.39361229040213,33.40410919186951,3.4508123363317997,34.98762042499922,6570,0
48,80.57122226218915,49.823721087965836,3.209686063574488,42.01887194291483,3779,0
49,73.43618289568461,58.974892038354014,3.457541934004781,50.40026719862688,8189,1
50,52.36959844637266,48.50656830149244,3.4337476093485355,43.941265104341475,1084,0
51,73.24083969394795,55.832509160018915,1.2281033177535563,38.786913286104195,1398,0
52,66.14917719583684,52.80932374101667,3.636870158395403,49.28072006660689,7648,0
53,63.23077999694041,52.73328185562101,2.3289851543375466,30.40149697783705,7287,0
54,76.11676288840867,47.82948017545362,1.904160836996042,37.750804604446486,4055,0
55,80.30999522495951,40.26735356691432,1.8955481721450038,37.989120643996316,5813,0
56,79.31280119116198,41.02775882059978,3.4335416104725294,27.630467415571545,3787,0
57,61.607824767773614,55.67482011564254,2.777425072775147,35.80125837715642,3145,0
58,66.90787624148786,50.15566604415106,1.3180312160145893,19.25040319104697,9151,1
59,73.31263431403563,48.8919020431422,3.4780378151922835,59.12178047662954,6816,0
60,79.75545127122359,46.60887966142118,1.5603918692011727,30.62586211563687,2185,0
61,65.2082576215471,47.55848923615399,3.139821358518211,55.861141314213114,6633,0
62,68.14341023336183,58.37529435590511,3.238498925673054,40.380845057194925,2827,0
63,58.93665025993972,47.31804734505579,3.885577081695045,45.64864132155959,476,0
64,58.037933759193294,39.271482293587454,4.781684786466851,35.112002016490685,7092,0
65,78.12525822394198,55.949214204321386,1.6353236740994583,42.079296919616745,5800,0
66,83.56240028570824,48.36098668908226,2.9475261439369507,46.50489639988436,4790,0
67,69.27989878419666,50.251166924262215,2.7236647049557825,46.64552414394182,2894,0
68,80.03532897892023,62.86062645119608,3.4337496859609624,47.74773390074357,1165,0
69,73.61636025047635,49.835515541195946,3.2156687709336187,36.316672899608236,3782,0
70,63.54880245394876,52.313469384949805,2.64745375726338,35.196403275086446,7737,0
71,73.61395605508415,40.568612069613394,2.5590978113891447,24.058236747323964,1151,0
72,85.38036566465969,48.24264438119232,1.8835491448159525,45.23219011176937,8920,1
73,69.64173960890048,54.87620836166881,3.9878615824065093,50.82378711323443,8180,1
74,85.64643655814007,37.55701012927006,3.4592041815995294,56.159816799179296,2473,1
75,43.80254895910255,51.60676074492568,3.9177681977951373,43.05172634580508,6862,0
76,78.21902504375224,50.80632858115845,2.6896038635244865,32.33520227091431,8158,1
77,70.87047068238171,50.330299644699515,2.3431645313055696,23.029038567105445,6568,0
78,67.00992649534132,58.29727118926594,1.9216849333707722,50.416667330833505,4074,0
79,70.91760776535503,52.67550811878817,3.3589175837406593,22.037234332224646,9475,1
80,50.124310853991076,61.824575186851554,1.9602067754717654,36.59395922256233,6759,0
81,67.80328112162488,42.05128387524771,4.84866306896655,37.75693172056354,7928,0
82,73.57112571511746,51.087396537746784,1.6923574189065596,39.30544862148981,4941,0
83,84.77894044741517,50.67573429111958,3.2736601192125017,40.3580260003584,9569,1
84,64.81729781726352,41.44596404995936,4.566854707213786,41.38147556367575,2051,0
85,61.91506397106812,57.65036001673077,3.599089759263809,15.846367379214705,4021,0
86,64.98242956415463,68.59738644682254,3.175673712491779,40.14655909870127,3524,0
87,79.15402117702074,49.86395140412935,2.0315163530381044,17.70424425888123,6825,0
88,73.28751109659684,54.04016870619014,1.618230811432296,47.32218073090995,9617,1
89,64.70239796232961,50.67614780652262,3.770050108917586,34.44874844196388,1271,0
90,75.13267433113356,44.29132264074259,4.506147240774947,18.429632747766497,3869,0
91,70.9707754934804,35.43391777758387,2.5611500095218287,31.857953226146243,3731,0
92,79.68644990532889,44.35381213523708,1.860938492383649,34.29924660815346,2410,0
93,62.979469061226474,38.86433295238615,0.5418305694509815,51.90699617555005,2443,0
94,66.72337853402232,63.632816624472945,2.019235156337462,41.96637741750245,3486,0
95,66.07891846867842,49.079122448614086,2.88634315750096,43.4444494435058,3167,0
96,55.364850518678814,47.23264536762264,4.599123240836734,51.812216342206014,2439,0
97,72.96120277064576,57.11323059830245,3.6731336922329687,39.03855712075511,783,0
